Category,Date,Title,Link
総務からのお知らせ,2023.04.19,【資料等掲載】2023年度新領域新任教職員研修について,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/soumu-notice/16684/
総務からのお知らせ,2023.01.17,【新領域総務チーム】2022年度　近距離旅費請求書の提出につきまして,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/soumu-notice/15268/
総務からのお知らせ,2022.12.14,年末・年始における郵便物及び学内便の取扱いについて,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/soumu-notice/14716/
総務からのお知らせ,2022.04.18,【資料等掲載】2022年度新領域新任教職員研修について,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/soumu-notice/11221/
総務からのお知らせ,2022.03.09,「3/31付退職の方」と「3/31付退職後、新領域にて4/1再雇用の方」へ,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/soumu-notice/10133/
就労関連通知,2023.07.20,【依頼・総務】7月例月の就労管理システム月次処理について,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/employment_notice/17820/
就労関連通知,2023.07.04,令和5年度における夏季の休業状態の実施について（通知）,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/employment_notice/17781/
就労関連通知,2023.06.20,【依頼・総務】6月例月の就労管理システム月次処理について,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/employment_notice/17456/
就労関連通知,2023.05.19,【依頼・総務】5月例月の就労管理システム月次処理について,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/employment_notice/16954/
就労関連通知,2023.04.20,【依頼・総務】4月例月の就労管理システム月次処理について,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/employment_notice/16627/
出張関連通知,2023.04.19,近距離請求書の提出と注意事項につきまして,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/trip_notice/16700/
出張関連通知,2022.03.24,[f-all] ★重要★【総務チーム】2021年度　近距離旅費請求書の〆切のご連絡,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/trip_notice/10440/
出張関連通知,2022.02.25,【2月分出張報告書総務チーム〆切：3月1日（火）まで】　！重要！【柏共通】年度末に向けての出張旅費支払いについて（第３報）,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/trip_notice/9525/
出張関連通知,2022.02.16,【総務チーム】2021年度　近距離旅費請求書の提出につきまして（2月・年度末）,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/trip_notice/9160/
出張関連通知,2022.01.28,【総務チーム】2021年度1月分　近距離旅費請求書の提出につきまして,https://gsfs-portal.k.u-tokyo.ac.jp/soumu/news/trip_notice/8750/
教務カテゴリ,2023.05.29,在留カードを紛失した場合 If you lose your residence card,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/kyoumu-parent/17293/
重要なお知らせ/Important Notice,2023.07.12,令和５年７月７日からの大雨による災害で被災した 世帯の学生の皆さんへ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/emergency-information/17873/
重要なお知らせ/Important Notice,2023.07.10,（教務チーム）夏季休業・入試業務に伴う8月の窓口業務休止について / Notice regarding the closure of the Student Affairs Team office in August,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/17839/
重要なお知らせ/Important Notice,2023.07.05,令和５年６月 29 日からの大雨による災害で被災した 世帯の学生の皆さんへ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/emergency-information/17803/
重要なお知らせ/Important Notice,2023.06.07,令和５年梅雨前線による大雨及び台風第２号による災害で被災した 世帯の学生の皆さんへ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/emergency-information/17460/
重要なお知らせ/Important Notice,2023.05.09,令和5年石川県能登地方を震源とする地震で被災した世帯の学生の皆さんへ,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/emergency-information/16991/
教務からのお知らせ/Notice from the Student Affairs Team,2023.07.31,令和５年度前期の学費免除申請を行った方へ／For those who have applied for Admission/Tuition Fee Exemption for the first half of 2023,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/18044/
教務からのお知らせ/Notice from the Student Affairs Team,2023.07.28,令和6年度採用分（第１回）日本学術振興会若手研究者海外挑戦プログラムの募集について,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/18016/
教務からのお知らせ/Notice from the Student Affairs Team,2023.07.26,東京大学教育学部附属中等教育学校での「生成系AI等を活用した評価システムの構築」募集！！,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/18014/
教務からのお知らせ/Notice from the Student Affairs Team,2023.07.18,令和５年度 教育職員免許状大学一括申請について,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/17902/
教務からのお知らせ/Notice from the Student Affairs Team,2023.07.10,（教務チーム）夏季休業・入試業務に伴う8月の窓口業務休止について / Notice regarding the closure of the Student Affairs Team office in August,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/oshirase2/17839/
他学部・研究科からの授業関係お知らせ/Classes Information from other Faculty or Graduate School,2023.06.22,【工学系】日韓集中講義,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/tagakubu-oshirase-2/17653/
他学部・研究科からの授業関係お知らせ/Classes Information from other Faculty or Graduate School,2023.06.20,【公共政策大学院】ゲストスピーカーセミナー,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/tagakubu-oshirase-2/17615/
他学部・研究科からの授業関係お知らせ/Classes Information from other Faculty or Graduate School,2023.06.13,【法学部】2023年度Ｓセメスター定期試験について,https://gsfs-portal.k.u-tokyo.ac.jp/kyoumu/news/tagakubu-oshirase-2/17556/
